BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          23   220.0       8.074      0.7175E+24  0.6427E+25  0.1049E+25  0.5586E+25  0.1784E-12  0.2451E-12  0.6549E-15  0.4148E-20  0.3473E-13  0.5184E-16  0.2939E-13  0.5288E-14   73.56       12.00       2.000    
          24   230.0       8.157      0.7136E+24  0.6402E+25  0.1046E+25  0.5605E+25  0.1797E-12  0.2465E-12  0.7266E-15  0.4427E-20  0.3775E-13  0.5267E-16  0.3177E-13  0.5928E-14   75.22       12.00       2.000    
          25   240.0       8.239      0.7100E+24  0.6378E+25  0.1044E+25  0.5625E+25  0.1810E-12  0.2477E-12  0.8019E-15  0.4706E-20  0.4090E-13  0.5348E-16  0.3423E-13  0.6609E-14   76.89       12.00       2.000    
          26   250.0       8.322      0.7066E+24  0.6356E+25  0.1041E+25  0.5648E+25  0.1822E-12  0.2489E-12  0.8808E-15  0.4987E-20  0.4416E-13  0.5429E-16  0.3678E-13  0.7331E-14   78.57       12.00       2.000    
          27   260.0       8.403      0.7032E+24  0.6334E+25  0.1039E+25  0.5670E+25  0.1834E-12  0.2501E-12  0.9631E-15  0.5268E-20  0.4754E-13  0.5509E-16  0.3939E-13  0.8095E-14   83.19       12.00       2.000    
          28   270.0       8.484      0.7000E+24  0.6315E+25  0.1037E+25  0.5695E+25  0.1846E-12  0.2513E-12  0.1049E-14  0.5549E-20  0.5103E-13  0.5588E-16  0.4208E-13  0.8900E-14   85.00       12.00       2.000    
          29   280.0       8.565      0.6969E+24  0.6297E+25  0.1035E+25  0.5720E+25  0.1857E-12  0.2524E-12  0.1138E-14  0.5831E-20  0.5463E-13  0.5666E-16  0.4483E-13  0.9747E-14   86.83       12.00       2.000    
          30   290.0       8.645      0.6938E+24  0.6280E+25  0.1034E+25  0.5746E+25  0.1868E-12  0.2535E-12  0.1230E-14  0.6114E-20  0.5835E-13  0.5743E-16  0.4766E-13  0.1064E-13   88.66       12.00       2.000    
          31   300.0       8.726      0.6911E+24  0.6265E+25  0.1032E+25  0.5774E+25  0.1879E-12  0.2545E-12  0.1326E-14  0.6396E-20  0.6220E-13  0.5820E-16  0.5057E-13  0.1157E-13   90.49       12.00       2.000    
          32   310.0       8.805      0.6881E+24  0.6251E+25  0.1030E+25  0.5801E+25  0.1889E-12  0.2556E-12  0.1425E-14  0.6679E-20  0.6613E-13  0.5896E-16  0.5352E-13  0.1255E-13   95.90       12.00       2.000    
          33   320.0       8.886      0.6855E+24  0.6240E+25  0.1029E+25  0.5831E+25  0.1899E-12  0.2566E-12  0.1527E-14  0.6962E-20  0.7020E-13  0.5973E-16  0.5657E-13  0.1357E-13   97.87       12.00       2.000    
          34   330.0       8.966      0.6830E+24  0.6229E+25  0.1027E+25  0.5862E+25  0.1909E-12  0.2575E-12  0.1633E-14  0.7245E-20  0.7437E-13  0.6048E-16  0.5967E-13  0.1464E-13   99.83       12.00       2.000    
          35   340.0       9.045      0.6801E+24  0.6216E+25  0.1025E+25  0.5891E+25  0.1919E-12  0.2586E-12  0.1741E-14  0.7527E-20  0.7862E-13  0.6123E-16  0.6282E-13  0.1575E-13   101.8       12.00       2.000    
          36   350.0       9.126      0.6778E+24  0.6206E+25  0.1024E+25  0.5924E+25  0.1929E-12  0.2595E-12  0.1853E-14  0.7810E-20  0.8303E-13  0.6199E-16  0.6606E-13  0.1691E-13   103.8       12.00       2.000    
          37   360.0       9.207      0.6755E+24  0.6196E+25  0.1023E+25  0.5958E+25  0.1938E-12  0.2604E-12  0.1968E-14  0.8093E-20  0.8755E-13  0.6274E-16  0.6937E-13  0.1813E-13   123.3       17.00       3.000    
          38   370.0       9.287      0.6731E+24  0.6188E+25  0.1021E+25  0.5990E+25  0.1948E-12  0.2613E-12  0.2086E-14  0.8375E-20  0.9214E-13  0.6349E-16  0.7271E-13  0.1938E-13   125.6       18.00       3.000    
          39   380.0       9.367      0.6707E+24  0.6181E+25  0.1020E+25  0.6024E+25  0.1957E-12  0.2622E-12  0.2206E-14  0.8657E-20  0.9685E-13  0.6423E-16  0.7612E-13  0.2067E-13   127.9       18.00       3.000    
          40   390.0       9.448      0.6687E+24  0.6174E+25  0.1019E+25  0.6060E+25  0.1966E-12  0.2630E-12  0.2331E-14  0.8939E-20  0.1017E-12  0.6497E-16  0.7962E-13  0.2203E-13   116.3       13.00       2.000    
          41   400.0       9.528      0.6663E+24  0.6166E+25  0.1018E+25  0.6094E+25  0.1974E-12  0.2640E-12  0.2457E-14  0.9220E-20  0.1066E-12  0.6571E-16  0.8313E-13  0.2342E-13   118.5       13.00       2.000    
          42   410.0       9.609      0.6643E+24  0.6164E+25  0.1016E+25  0.6132E+25  0.1983E-12  0.2648E-12  0.2587E-14  0.9501E-20  0.1117E-12  0.6646E-16  0.8673E-13  0.2487E-13   140.6       19.00       3.000    
          43   420.0       9.690      0.6622E+24  0.6159E+25  0.1015E+25  0.6169E+25  0.1991E-12  0.2656E-12  0.2720E-14  0.9781E-20  0.1168E-12  0.6720E-16  0.9038E-13  0.2637E-13   143.1       19.00       3.000    
          44   430.0       9.773      0.6603E+24  0.6157E+25  0.1014E+25  0.6209E+25  0.2000E-12  0.2664E-12  0.2857E-14  0.1006E-19  0.1221E-12  0.6795E-16  0.9411E-13  0.2793E-13   145.6       19.00       3.000    
          45   440.0       9.855      0.6584E+24  0.6155E+25  0.1013E+25  0.6248E+25  0.2008E-12  0.2671E-12  0.2995E-14  0.1034E-19  0.1275E-12  0.6870E-16  0.9788E-13  0.2953E-13   148.1       19.00       3.000    
          46   450.0       9.937      0.6565E+24  0.6153E+25  0.1012E+25  0.6288E+25  0.2016E-12  0.2679E-12  0.3137E-14  0.1062E-19  0.1329E-12  0.6944E-16  0.1017E-12  0.3119E-13   150.7       19.00       3.000    
          47   460.0       10.02      0.6547E+24  0.6152E+25  0.1011E+25  0.6329E+25  0.2024E-12  0.2687E-12  0.3281E-14  0.1090E-19  0.1385E-12  0.7018E-16  0.1056E-12  0.3289E-13   153.2       19.00       3.000    
          48   470.0       10.10      0.6527E+24  0.6150E+25  0.1010E+25  0.6368E+25  0.2032E-12  0.2695E-12  0.3428E-14  0.1117E-19  0.1442E-12  0.7092E-16  0.1095E-12  0.3464E-13   155.8       19.00       3.000    
          49   480.0       10.19      0.6510E+24  0.6151E+25  0.1009E+25  0.6411E+25  0.2040E-12  0.2702E-12  0.3578E-14  0.1145E-19  0.1500E-12  0.7167E-16  0.1135E-12  0.3646E-13   158.4       19.00       3.000    
          50   490.0       10.27      0.6493E+24  0.6152E+25  0.1008E+25  0.6454E+25  0.2047E-12  0.2709E-12  0.3731E-14  0.1173E-19  0.1559E-12  0.7242E-16  0.1175E-12  0.3833E-13   161.0       19.00       3.000    
          51   500.0       10.35      0.6477E+24  0.6155E+25  0.1007E+25  0.6499E+25  0.2055E-12  0.2715E-12  0.3887E-14  0.1200E-19  0.1619E-12  0.7317E-16  0.1216E-12  0.4026E-13   163.6       19.00       3.000    
          52   510.0       10.44      0.6460E+24  0.6157E+25  0.1006E+25  0.6543E+25  0.2062E-12  0.2722E-12  0.4045E-14  0.1228E-19  0.1680E-12  0.7392E-16  0.1257E-12  0.4224E-13   173.8       19.00       3.000    
          53   520.0       10.52      0.6443E+24  0.6159E+25  0.1004E+25  0.6586E+25  0.2070E-12  0.2730E-12  0.4205E-14  0.1255E-19  0.1742E-12  0.7467E-16  0.1299E-12  0.4426E-13   176.6       19.00       3.000    
